Unnamed: 0,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,2,2,4,79833,14,0,12,0
1,2020,3,2,6,260000,32,0,29,2
2,2020,3,2,6,109024,20,50,18,1
3,2020,2,2,6,20000,23,0,20,2
4,2020,3,2,5,150000,55,50,48,0
5,2020,0,2,0,72000,55,100,48,0
6,2020,3,2,6,190000,55,100,48,2
7,2020,2,2,4,35735,25,50,22,0
8,2020,2,2,6,135000,55,100,48,0
9,2020,3,2,6,125000,41,50,38,2
10,2020,0,2,4,51321,19,0,17,2
11,2020,2,2,4,40481,27,0,25,0
12,2020,0,2,4,39916,19,0,17,1
13,2020,2,2,6,87000,55,100,48,0
14,2020,2,2,0,85000,55,100,48,0
15,2020,2,2,0,8000,43,50,39,0
16,2020,0,2,2,41689,32,100,29,2
17,2020,3,2,6,114047,44,100,18,2
18,2020,0,2,6,5707,27,50,25,1
19,2020,2,2,6,56000,46,100,48,1
20,2020,2,2,5,43331,11,0,9,1
21,2020,2,2,6,6072,27,100,25,0
22,2020,3,2,2,47899,21,50,19,0
23,2020,2,2,6,98000,55,0,48,1
24,2020,2,2,6,115000,0,0,0,0
25,2020,1,2,6,325000,55,100,48,0
26,2020,0,2,7,42000,40,50,37,0
27,2020,3,2,2,33511,37,0,34,2
28,2020,0,0,6,100000,55,100,48,0
29,2020,3,2,6,117104,8,50,6,0
30,2020,2,2,6,59303,14,100,12,2
31,2020,0,2,6,70000,55,100,48,0
32,2020,3,2,4,68428,21,100,48,0
33,2020,2,2,7,450000,55,0,48,1
34,2020,2,2,0,46759,19,50,17,0
35,2020,2,2,2,74130,2,50,2,0
36,2020,2,2,6,103000,55,100,48,0
37,2020,0,2,5,250000,55,50,48,0
38,2020,0,2,0,10000,39,100,36,2
39,2020,0,2,5,138000,55,100,48,2
40,2020,2,2,4,45760,42,100,48,2
41,2020,1,2,6,79833,18,50,16,0
42,2020,2,2,6,50180,46,0,41,1
43,2020,2,2,2,106000,55,100,48,0
44,2020,2,2,2,112872,20,50,18,0
45,2020,0,3,6,15966,14,100,12,2
